4,Ellikon an der Thur,218,[{'PLZ':'8548'}]
2,Elsau,219,"[{'PLZ':'8352'},{'PLZ':'8352'}]"
2,Hagenbuch,220,[{'PLZ':'8523'}]
2,Hettlingen,221,[{'PLZ':'8442'}]
2,Neftenbach,223,"[{'PLZ':'8412'},{'PLZ':'8412'},{'PLZ':'8413'},{'PLZ':'8412'}]"
4,Pfungen,224,"[{'PLZ':'8422'},{'PLZ':'8422'}]"
4,Rickenbach (ZH),225,"[{'PLZ':'8545'},{'PLZ':'8545'}]"
2,Seuzach,227,"[{'PLZ':'8472'},{'PLZ':'8472'}]"
2,Winterthur,230,"[{'PLZ':'8400'},{'PLZ':'8401'},{'PLZ':'8402'},{'PLZ':'8408'},{'PLZ':'8482'},{'PLZ':'8406'},{'PLZ':'8408'},{'PLZ':'8400'},{'PLZ':'8405'},{'PLZ':'8404'},{'PLZ':'8352'},{'PLZ':'8403'},{'PLZ':'8404'},{'PLZ':'8400'},{'PLZ':'8400'},{'PLZ':'8404'},{'PLZ':'8406'},{'PLZ':'8409'},{'PLZ':'8410'},{'PLZ':'8411'},{'PLZ':'8404'},{'PLZ':'8411'}]"
2,Elgg,294,"[{'PLZ':'8354'},{'PLZ':'8354'},{'PLZ':'8353'}]"
2,Wiesendangen,298,"[{'PLZ':'8546'},{'PLZ':'8543'},{'PLZ':'8543'},{'PLZ':'8543'},{'PLZ':'8542'},{'PLZ':'8544'}]"
1,Aeugst am Albis,1,"[{'PLZ':'8914'},{'PLZ':'8914'}]"
1,Affoltern am Albis,2,"[{'PLZ':'8910'},{'PLZ':'8910'},{'PLZ':'8910'},{'PLZ':'8909'}]"
1,Bonstetten,3,[{'PLZ':'8906'}]
1,Hausen am Albis,4,"[{'PLZ':'8915'},{'PLZ':'8925'}]"
1,Hedingen,5,[{'PLZ':'8908'}]
1,Kappel am Albis,6,"[{'PLZ':'8926'},{'PLZ':'8926'},{'PLZ':'8926'}]"
1,Knonau,7,[{'PLZ':'8934'}]
1,Maschwanden,8,[{'PLZ':'8933'}]
1,Mettmenstetten,9,[{'PLZ':'8932'}]
1,Obfelden,10,[{'PLZ':'8912'}]
1,Ottenbach,11,[{'PLZ':'8913'}]
1,Rifferswil,12,[{'PLZ':'8911'}]
1,Stallikon,13,"[{'PLZ':'8143'},{'PLZ':'8143'}]"
1,Wettswil am Albis,14,[{'PLZ':'8907'}]
1,Adlikon,21,[{'PLZ':'8452'}]
4,Benken (ZH),22,[{'PLZ':'8463'}]
4,Berg am Irchel,23,"[{'PLZ':'8415'},{'PLZ':'8415'}]"
4,Buch am Irchel,24,[{'PLZ':'8414'}]
4,Dachsen,25,[{'PLZ':'8447'}]
4,Dorf,26,[{'PLZ':'8458'}]
4,Feuerthalen,27,"[{'PLZ':'8246'},{'PLZ':'8245'}]"
4,Flaach,28,[{'PLZ':'8416'}]
4,Flurlingen,29,[{'PLZ':'8247'}]
4,Andelfingen,30,"[{'PLZ':'8450'},{'PLZ':'8450'}]"
4,Henggart,31,[{'PLZ':'8444'}]
4,Humlikon,32,[{'PLZ':'8457'}]
4,Kleinandelfingen,33,"[{'PLZ':'8451'},{'PLZ':'8461'},{'PLZ':'8453'}]"
4,Laufen-Uhwiesen,34,"[{'PLZ':'8248'},{'PLZ':'8212'}]"
4,Marthalen,35,"[{'PLZ':'8464'},{'PLZ':'8460'},{'PLZ':'8460'}]"
4,Ossingen,37,[{'PLZ':'8475'}]
4,Rheinau,38,[{'PLZ':'8462'}]
4,Thalheim an der Thur,39,[{'PLZ':'8478'}]
4,Trüllikon,40,"[{'PLZ':'8465'},{'PLZ':'8465'},{'PLZ':'8466'}]"
4,Truttikon,41,[{'PLZ':'8467'}]
4,Volken,43,[{'PLZ':'8459'}]
1,Adliswil,131,"[{'PLZ':'8134'},{'PLZ':'8134'},{'PLZ':'8134'},{'PLZ':'8134'},{'PLZ':'8134'}]"
1,Kilchberg (ZH),135,[{'PLZ':'8802'}]
1,Langnau am Albis,136,[{'PLZ':'8135'}]
1,Oberrieden,137,[{'PLZ':'8942'}]
1,Richterswil,138,"[{'PLZ':'8805'},{'PLZ':'8805'},{'PLZ':'8833'}]"
1,Rüschlikon,139,[{'PLZ':'8803'}]
1,Thalwil,141,"[{'PLZ':'8800'},{'PLZ':'8136'},{'PLZ':'8800'}]"
1,Erlenbach (ZH),151,[{'PLZ':'8703'}]
1,Herrliberg,152,[{'PLZ':'8704'}]
3,Hombrechtikon,153,"[{'PLZ':'8714'},{'PLZ':'8634'}]"
1,Küsnacht (ZH),154,"[{'PLZ':'8700'},{'PLZ':'8700'}]"
1,Männedorf,155,"[{'PLZ':'8708'},{'PLZ':'8708'}]"
1,Meilen,156,"[{'PLZ':'8706'},{'PLZ':'8706'}]"
3,Oetwil am See,157,[{'PLZ':'8618'}]
3,Stäfa,158,"[{'PLZ':'8713'},{'PLZ':'8712'}]"
1,Uetikon am See,159,[{'PLZ':'8707'}]
1,Zumikon,160,"[{'PLZ':'8126'},{'PLZ':'8126'}]"
1,Zollikon,161,"[{'PLZ':'8702'},{'PLZ':'8702'},{'PLZ':'8125'}]"
3,Lindau,176,"[{'PLZ':'8315'},{'PLZ':'8310'},{'PLZ':'8312'},{'PLZ':'8317'},{'PLZ':'8310'},{'PLZ':'8310'}]"
3,Dübendorf,191,"[{'PLZ':'8600'},{'PLZ':'8600'},{'PLZ':'8600'},{'PLZ':'8044'},{'PLZ':'8600'}]"
3,Wangen-Brüttisellen,200,"[{'PLZ':'8306'},{'PLZ':'8602'}]"
1,Aesch (ZH),241,[{'PLZ':'8904'}]
1,Birmensdorf (ZH),242,"[{'PLZ':'8903'},{'PLZ':'8903'},{'PLZ':'8903'}]"
1,Dietikon,243,"[{'PLZ':'8953'},{'PLZ':'8953'},{'PLZ':'8953'},{'PLZ':'8953'}]"
4,Geroldswil,244,[{'PLZ':'8954'}]
4,Oberengstringen,245,[{'PLZ':'8102'}]
4,Oetwil an der Limmat,246,[{'PLZ':'8955'}]
1,Schlieren,247,"[{'PLZ':'8010'},{'PLZ':'8010'},{'PLZ':'8011'},{'PLZ':'8010'},{'PLZ':'8010'},{'PLZ':'8010'},{'PLZ':'8952'},{'PLZ':'8010'},{'PLZ':'8010'},{'PLZ':'8952'},{'PLZ':'8010'},{'PLZ':'8010'},{'PLZ':'8012'},{'PLZ':'8010'},{'PLZ':'8010'},{'PLZ':'8010'},{'PLZ':'8010'},{'PLZ':'8015'}]"
1,Uitikon,248,[{'PLZ':'8142'}]
4,Unterengstringen,249,[{'PLZ':'8103'}]
1,Urdorf,250,"[{'PLZ':'8902'},{'PLZ':'8902'},{'PLZ':'8901'},{'PLZ':'8970'},{'PLZ':'8940'},{'PLZ':'8902'},{'PLZ':'8902'},{'PLZ':'8930'},{'PLZ':'8970'},{'PLZ':'8920'}]"
4,Weiningen (ZH),251,"[{'PLZ':'8104'},{'PLZ':'8951'},{'PLZ':'8080'}]"
3,Stammheim,292,"[{'PLZ':'8468'},{'PLZ':'8477'},{'PLZ':'8476'},{'PLZ':'8468'}]"
1,Wädenswil,293,"[{'PLZ':'8804'},{'PLZ':'8820'},{'PLZ':'8824'},{'PLZ':'8820'},{'PLZ':'8825'},{'PLZ':'8820'}]"
1,Horgen,295,"[{'PLZ':'8810'},{'PLZ':'8813'},{'PLZ':'8135'},{'PLZ':'8810'},{'PLZ':'8810'},{'PLZ':'8815'},{'PLZ':'8816'},{'PLZ':'8135'}]"
